trackkey,date,latitude,longitude
13751,8/7/2010 0:00:00,42.925,-65.93
13751,8/8/2010 0:00:00,43.5675,-65.8525
13751,8/8/2010 0:00:00,42.525,-66.4325
13751,8/9/2010 0:00:00,40.875,-68.355
13751,8/9/2010 0:00:00,41.9625,-69.465
13751,8/10/2010 0:00:00,43.7625,-68.4825
13751,8/10/2010 0:00:00,44.195,-66.75
13751,8/11/2010 0:00:00,45.035,-65.425
13751,8/11/2010 0:00:00,45.105,-65.32
13751,8/12/2010 0:00:00,44.13,-66.2475
13751,8/12/2010 0:00:00,44.535,-66.5525
13751,8/13/2010 0:00:00,45.765,-65.8575
13751,8/13/2010 0:00:00,46.0875,-65.3475
13751,8/14/2010 0:00:00,45.7675,-65.2125
13751,8/14/2010 0:00:00,44.835,-65.3925
13751,8/15/2010 0:00:00,43.84,-66.23
13751,8/15/2010 0:00:00,44.43,-66.6925
13751,8/16/2010 0:00:00,44.7775,-65.655
13751,8/16/2010 0:00:00,41.8675,-64.8375
13751,8/17/2010 0:00:00,39.43,-66.365
13751,8/17/2010 0:00:00,41.885,-67.86
13751,8/18/2010 0:00:00,44.6825,-66.855
13751,8/18/2010 0:00:00,44.1,-65.415
13751,8/19/2010 0:00:00,43.835,-65.6
13751,8/19/2010 0:00:00,44.75,-66.91
13751,8/20/2010 0:00:00,44.4225,-67.94
13751,8/20/2010 0:00:00,44.26,-67.875
13751,8/21/2010 0:00:00,44.8675,-67.06
13751,8/21/2010 0:00:00,44.52,-66.465
13751,8/22/2010 0:00:00,43.7575,-66.4025
13751,8/22/2010 0:00:00,43.12,-66.56
13751,8/23/2010 0:00:00,41.61,-66.4675
13751,8/23/2010 0:00:00,40.3325,-65.625
13751,8/24/2010 0:00:00,41.3375,-64.94
13751,8/24/2010 0:00:00,42.8925,-65.195
13751,8/25/2010 0:00:00,42.265,-65.1675
13751,8/25/2010 0:00:00,39.43,-64.795
13751,8/26/2010 0:00:00,38.3375,-65.7375
13751,8/26/2010 0:00:00,42.5725,-66.43
13751,8/27/2010 0:00:00,37.6825,-56.155
13751,8/28/2010 0:00:00,40.11,-50.345
13751,8/28/2010 0:00:00,43.4575,-47.475
13751,8/29/2010 0:00:00,43.14,-45.825
13751,8/29/2010 0:00:00,41.7825,-44.58
13751,8/30/2010 0:00:00,39.8525,-43.96
13751,8/30/2010 0:00:00,38.5,-43.5
13751,8/31/2010 0:00:00,37.2225,-42.9775
13751,8/31/2010 0:00:00,37.67,-41.8575
13751,9/1/2010 0:00:00,38.3575,-39.645
13751,9/1/2010 0:00:00,37.8925,-36.8425
13751,9/2/2010 0:00:00,36.965,-33.7575
13751,9/2/2010 0:00:00,35.265,-30.545
13751,9/3/2010 0:00:00,34.575,-27.71
13751,9/3/2010 0:00:00,32.69,-25.7525
13751,9/4/2010 0:00:00,30.6725,-24.8875
13751,9/4/2010 0:00:00,28.74,-24.9275
13751,9/5/2010 0:00:00,24.955,-25.375
13751,9/6/2010 0:00:00,11.6725,-27.2725
13751,9/6/2010 0:00:00,10.7475,-27.9075
13751,9/7/2010 0:00:00,11.9025,-27.4475
13751,9/7/2010 0:00:00,11.6675,-26.0425
13751,9/9/2010 0:00:00,10.275,-23.3275
13751,9/10/2010 0:00:00,2.125,-20.5075
13751,9/10/2010 0:00:00,-2.85,-19.155
13751,9/11/2010 0:00:00,-3.725,-18.4175
13751,9/11/2010 0:00:00,-8.6625,-17.82
13751,9/14/2010 0:00:00,-9.815,-17.9225
13751,9/14/2010 0:00:00,-3.625,-20.63
13751,9/18/2010 0:00:00,60.5025,-32.4775
13751,9/28/2010 0:00:00,39.7575,-46.7325
13751,10/1/2010 0:00:00,-29.8475,-48.57
13751,10/2/2010 0:00:00,-32.2425,-48.34
13751,10/2/2010 0:00:00,-29.76,-47.975
13751,10/3/2010 0:00:00,-27.315,-47.92
13751,10/3/2010 0:00:00,-26.045,-48.0225
13751,10/4/2010 0:00:00,-25.055,-48.1575
13751,10/4/2010 0:00:00,-28.5675,-49.205
13751,10/5/2010 0:00:00,-34.53,-51.4175
13751,10/6/2010 0:00:00,-34.54,-52.965
13751,10/6/2010 0:00:00,-33.08,-53.0325
13751,10/7/2010 0:00:00,-34.4175,-53.175
13751,10/10/2010 0:00:00,-35.2725,-54.2675
13751,10/10/2010 0:00:00,-36.12,-55
13751,10/11/2010 0:00:00,-37.0375,-54.905
13751,10/11/2010 0:00:00,-37.6325,-54.625
13751,10/12/2010 0:00:00,-39.2275,-54.535
13751,10/12/2010 0:00:00,-41.6,-54.66
13751,10/13/2010 0:00:00,-43.5575,-54.6575
13751,10/13/2010 0:00:00,-41.26,-55.7825
13751,10/14/2010 0:00:00,-35.7075,-57.615
13751,10/16/2010 0:00:00,-33.1525,-57.685
13751,10/16/2010 0:00:00,-33.9575,-56.495
13751,10/18/2010 0:00:00,-35.09,-55.045
13751,10/18/2010 0:00:00,-34.9425,-53.27
13751,10/19/2010 0:00:00,-36.14,-52.075
13751,10/19/2010 0:00:00,-39.1125,-51.505
13751,10/20/2010 0:00:00,-40.94,-50.5275
13751,10/20/2010 0:00:00,-40.7375,-49.61
13751,10/21/2010 0:00:00,-40.1225,-49.4125
13751,10/21/2010 0:00:00,-39.565,-49.745
13751,10/22/2010 0:00:00,-36.3775,-49.6075
13751,10/22/2010 0:00:00,-32.2025,-48.3775
13751,10/23/2010 0:00:00,-32.9275,-48.1775
13751,10/23/2010 0:00:00,-37.255,-49.445
13751,10/24/2010 0:00:00,-39.105,-49.93
13751,10/24/2010 0:00:00,-38.2325,-49.79
13751,10/25/2010 0:00:00,-37.145,-49.995
13751,10/25/2010 0:00:00,-37.0925,-50.01
13751,10/26/2010 0:00:00,-37.4875,-49.585
13751,10/26/2010 0:00:00,-37.1575,-49.2225
13751,10/27/2010 0:00:00,-37.17,-49.39
13751,10/27/2010 0:00:00,-38.1625,-49.8075
13751,10/28/2010 0:00:00,-39.12,-50.0375
13751,10/28/2010 0:00:00,-39.4525,-50.36
13751,10/29/2010 0:00:00,-38.55,-50.4625
13751,10/29/2010 0:00:00,-36.2,-50.4075
13751,10/30/2010 0:00:00,-35.655,-51.7275
13751,10/30/2010 0:00:00,-37.945,-54.015
13751,10/31/2010 0:00:00,-39.505,-55.645
13751,10/31/2010 0:00:00,-41.015,-56.15
13751,11/1/2010 0:00:00,-42.825,-55.5925
13751,11/1/2010 0:00:00,-43.4775,-54.7825
13751,11/2/2010 0:00:00,-43.6925,-54.0975
13751,11/2/2010 0:00:00,-43.325,-53.665
13751,11/3/2010 0:00:00,-43.325,-54.105
13751,11/3/2010 0:00:00,-44.5075,-54.885
13751,11/4/2010 0:00:00,-46.6225,-56.04
13751,11/4/2010 0:00:00,-49.8875,-57.195
13751,11/5/2010 0:00:00,-53.2125,-57.66
13751,11/5/2010 0:00:00,-56.715,-56.47
13751,11/6/2010 0:00:00,-60.535,-53.78
13751,11/6/2010 0:00:00,-63.125,-52.0225
13751,11/7/2010 0:00:00,-64.2325,-49.64
13751,11/7/2010 0:00:00,-64.3425,-46.885
13751,11/8/2010 0:00:00,-64.3725,-46.285
13751,11/8/2010 0:00:00,-64.5425,-47.3075
13751,11/9/2010 0:00:00,-64.0825,-47.5475
13751,11/9/2010 0:00:00,-63.2725,-46.1
13751,11/10/2010 0:00:00,-62.61,-44.5875
13751,11/10/2010 0:00:00,-61.83,-43.73
13751,11/11/2010 0:00:00,-61.15,-43.9675
13751,11/11/2010 0:00:00,-61.3975,-43.235
13751,11/12/2010 0:00:00,-62.275,-40.7825
13751,11/12/2010 0:00:00,-62.5625,-39.7375
13751,11/13/2010 0:00:00,-62.345,-40.3175
